,,,,,,,Totals,,,,,,,,,,,,,,,,,,,,Shooting,,,,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2965,Justin Jackson,2017-18,22,SAC,NBA,1,68,41,1506,185,419,128,234,57,185,26,36,27,160,187,74,28,13,40,81,453,0.442,0.547,0.308,0.51,0.722,0.521
2966,Richard Jefferson,2012-13,32,GSW,NBA,1,56,1,568,62,136,48,91,14,45,38,53,5,79,84,31,14,7,23,45,176,0.456,0.527,0.311,0.507,0.717,0.552
2967,Anthony Johnson,2009-10,35,ORL,NBA,1,31,0,406,49,111,36,72,13,39,19,20,8,40,48,63,11,1,26,32,130,0.441,0.5,0.333,0.5,0.95,0.543
2968,Chris Johnson,2012-13,27,MIN,NBA,1,30,0,284,48,75,48,75,0,0,21,34,20,40,60,8,7,28,13,49,117,0.64,0.64,,0.64,0.618,0.65
2969,Joe Johnson,2017-18,36,TOT,NBA,1,55,4,1205,146,360,106,215,40,145,40,45,14,158,172,83,18,7,49,67,372,0.406,0.493,0.276,0.461,0.889,0.49
2970,James Jones,2009-10,29,MIA,NBA,1,36,6,503,43,119,6,29,37,90,23,28,4,41,45,17,11,4,11,45,146,0.361,0.207,0.411,0.517,0.821,0.556
2971,Sean Kilpatrick,2015-16,26,TOT,NBA,1,31,0,616,123,270,84,156,39,114,60,67,12,44,56,29,12,2,31,37,345,0.456,0.538,0.342,0.528,0.896,0.576
2972,Ian Mahinmi,2018-19,32,WAS,NBA,1,34,6,498,47,104,44,88,3,16,42,61,48,80,128,25,25,16,21,84,139,0.452,0.5,0.188,0.466,0.689,0.531
2973,Luc Mbah a Moute,2013-14,27,TOT,NBA,1,64,7,1003,87,193,83,176,4,17,46,67,56,90,146,36,30,14,40,68,224,0.451,0.472,0.235,0.461,0.687,0.503
2974,Andre Miller,2015-16,39,TOT,NBA,1,39,4,461,59,106,57,98,2,8,24,32,12,39,51,87,16,0,37,46,144,0.557,0.582,0.25,0.566,0.75,0.6
2975,Gary Neal,2013-14,29,TOT,NBA,1,52,3,1114,193,471,125,291,68,180,94,105,10,80,90,83,18,0,64,65,548,0.41,0.43,0.378,0.482,0.895,0.53
2976,Kyle O'Quinn,2018-19,28,IND,NBA,1,45,3,371,69,136,68,124,1,12,17,21,29,90,119,56,9,25,31,68,156,0.507,0.548,0.083,0.511,0.81,0.537
2977,Emeka Okafor,2017-18,35,NOP,NBA,1,26,19,353,48,95,48,95,0,0,18,22,47,73,120,8,8,25,13,30,114,0.505,0.505,,0.505,0.818,0.545
2978,Kendrick Perkins,2010-11,26,TOT,NBA,1,29,24,742,67,130,67,130,0,0,40,72,62,170,232,26,9,26,56,91,174,0.515,0.515,,0.515,0.556,0.538
